Treatment;Time;Species_Tissue;N;mean;sd;se
85;Fe;7;Maize_Root;7;-14.47;0.585804290413331;0.221413209912619
86;Fe;7;Maize_Shoot;7;-16.1157142857143;0.379642689154647;0.143491448938142
87;Fe;7;Tomato_Root;7;-37.02;0.209920619917784;0.0793425364809957
88;Fe;7;Tomato_Shoot;7;-38.0185714285714;0.129669910597199;0.0490106194240241
89;Fe;9;Barley_Root;7;-34.9271428571429;1.55924890343304;0.589340690076285
90;Fe;9;Barley_Shoot;7;-37.9385714285714;0.517765344901483;0.19569690572813
91;Fe;9;Cucumber_Root;7;-34.3614285714286;0.882598975968674;0.333591056830484
92;Fe;9;Cucumber_Shoot;7;-36.4085714285714;0.496132662750215;0.18752052041905
93;Fe;9;Maize_Root;7;-15.2628571428571;0.450544643948273;0.170289868917039
94;Fe;9;Maize_Shoot;7;-16.6128571428571;0.259725129429446;0.0981668716720539
95;Fe;9;Tomato_Root;7;-37.6828571428571;0.186789925291693;0.0705999556763075
96;Fe;9;Tomato_Shoot;7;-38.58;0.258521436893216;0.0977119186569326
97;Fe;11;Barley_Root;7;-34.3057142857143;0.574132886559004;0.21700183390554
98;Fe;11;Barley_Shoot;7;-38.2071428571429;0.604530514413577;0.228491057298324
99;Fe;11;Maize_Root;7;-15.1971428571429;1.19534812621978;0.451799124589227
100;Fe;11;Maize_Shoot;7;-16.3428571428571;0.489002872715293;0.184825713085834
101;Fe;11;Tomato_Root;7;-37.9871428571429;0.322217022399205;0.121786587065718
102;Fe;11;Tomato_Shoot;7;-39.0342857142857;0.285707142767854;0.107987149651224
103;Fe;12;Cucumber_Root;7;-34.31;0.676116360794007;0.255547964000423
104;Fe;12;Cucumber_Shoot;7;-36.1314285714286;0.357604463592041;0.135161782627313
105;Fe;14;Barley_Root;7;-35.7485714285714;1.32539841269746;0.500953512582463
106;Fe;14;Barley_Shoot;7;-39.3157142857143;0.23894609872362;0.090313136281684
107;Fe;14;Cucumber_Root;7;-34.6185714285714;0.628925765927601;0.23771159568075
108;Fe;14;Cucumber_Shoot;7;-36.3885714285714;0.28445436490637;0.10751364412701
109;Fe;14;Maize_Root;7;-16.4114285714286;0.41257034032306;0.155936931259443
110;Fe;14;Maize_Shoot;7;-17.15;0.223755819291179;0.0845717503211385
111;Fe;14;Tomato_Root;7;-38.14;0.127148207485071;0.0480575052361626
112;Fe;14;Tomato_Shoot;7;-39.1128571428571;0.214919697074225;0.0812320100439622
113;P;0;Barley_Root;7;-27.8314285714286;0.748341022338269;0.28284632013927
114;P;0;Barley_Shoot;7;-31.0542857142857;0.705687776637259;0.266724908605755
115;P;0;Cucumber_Root;7;-31.54;1.39140217047409;0.525900588107133
116;P;0;Cucumber_Shoot;7;-32.9828571428571;1.21269279272362;0.458354792323871
117;P;0;Maize_Root;7;-12.4842857142857;0.51022404042594;0.192846560556229
118;P;0;Maize_Shoot;7;-13.5571428571429;0.773255332683719;0.292263044319377
119;P;0;Tomato_Root;7;-32.6657142857143;0.575234941650139;0.217418371577288
120;P;0;Tomato_Shoot;7;-35.6328571428571;0.589991928919774;0.22299598849386
121;P;1;Tomato_Root;7;-33.0142857142857;0.854768138987744;0.323071989197581
122;P;1;Tomato_Shoot;7;-37.2057142857143;0.467256430055886;0.176606330346246
123;P;2;Barley_Root;7;-29.84;0.70327803890069;0.265814113352062
124;P;2;Barley_Shoot;7;-33.5628571428571;0.736290574110392;0.278291678825296
125;P;2;Cucumber_Root;7;-33.3228571428571;1.02133432798659;0.386028091043683
126;P;2;Cucumber_Shoot;7;-34.5757142857143;0.827160950538187;0.312637452763977
127;P;2;Maize_Root;7;-13.2171428571429;0.733205616584104;0.277125674479616
128;P;2;Maize_Shoot;7;-15.8214285714286;0.599984126774161;0.226772684290097
129;P;3;Tomato_Root;7;-35.2542857142857;0.539192517964198;0.203795615902856
130;P;3;Tomato_Shoot;7;-38.27;0.206155281280884;0.0779193722473984
131;P;4;Barley_Root;7;-33.0128571428571;0.913668690604245;0.345334305149264
132;P;4;Barley_Shoot;7;-35.41;0.380219235003527;0.143709362786079
133;P;4;Maize_Root;7;-13.2814285714286;0.811817478900041;0.306838165592133
134;P;4;Maize_Shoot;7;-16.2014285714286;0.32349284234372;0.122268801678701
135;P;5;Cucumber_Root;7;-34.1471428571429;0.6463413516534;0.244294068361749
136;P;5;Cucumber_Shoot;7;-35.32;0.362491379207839;0.137008863112679
137;P;7;Barley_Root;7;-34.6528571428571;0.998093420572681;0.377243853720731
138;P;7;Barley_Shoot;7;-37.44;0.341516227042486;0.129081000778213
139;P;7;Cucumber_Root;7;-34.8228571428571;0.585084446489401;0.221141134483262
140;P;7;Cucumber_Shoot;7;-35.9685714285714;0.443224118305422;0.167522970300288
141;P;7;Maize_Root;7;-14.8857142857143;0.577346145244403;0.21821633153121
142;P;7;Maize_Shoot;7;-16.8628571428571;0.676257206633548;0.255601198723941
143;P;7;Tomato_Root;7;-35.4614285714286;0.660843616685739;0.249775409322137
144;P;7;Tomato_Shoot;7;-36.8528571428571;0.782149054117657;0.295624555054246
145;P;9;Barley_Root;7;-35.1814285714286;1.64331401514773;0.621114315723988
146;P;9;Barley_Shoot;7;-38.1557142857143;0.341460448800791;0.129059918584485
147;P;9;Cucumber_Root;7;-34.2328571428571;0.79826299521136;0.301715052307829
148;P;9;Cucumber_Shoot;7;-36.2771428571429;0.63450017824306;0.239818525493899
149;P;9;Maize_Root;7;-15.7657142857143;0.290967188462728;0.109975260050291
150;P;9;Maize_Shoot;7;-17.8828571428571;0.16265651802846;0.0614783851181429
151;P;9;Tomato_Root;7;-35.3014285714286;1.10487448112789;0.417603301000845
152;P;9;Tomato_Shoot;7;-36.7771428571429;0.832980877846029;0.314837178521838
153;P;11;Barley_Root;7;-35.8928571428571;0.690813874733136;0.261103102110972
154;P;11;Barley_Shoot;7;-38.5942857142857;0.412264362711484;0.155821282592731
155;P;11;Maize_Root;7;-15.54;0.65281441977538;0.246740658143226
156;P;11;Maize_Shoot;7;-17.46;0.262106848441623;0.0990670768433474
157;P;11;Tomato_Root;7;-35.2914285714286;0.415468754197337;0.157032428731997
158;P;11;Tomato_Shoot;7;-36.6914285714286;0.492694244991373;0.186220920662843
159;P;12;Cucumber_Root;7;-32.8828571428571;1.09769021564547;0.414887903883827
160;P;12;Cucumber_Shoot;7;-34.1528571428571;0.735769762124771;0.278094830397614
161;P;14;Barley_Root;7;-37.31;0.935539060292694;0.353600527903076
162;P;14;Barley_Shoot;7;-39.1028571428571;0.0884523008395453;0.0334318272732724
163;P;14;Cucumber_Root;7;-32.32;1.14300772817452;0.432016313624955
164;P;14;Cucumber_Shoot;7;-33.7842857142857;0.915602845904583;0.346065347138074
165;P;14;Maize_Root;7;-15.9857142857143;0.400202329780706;0.151262262672629
166;P;14;Maize_Shoot;7;-17.9614285714286;0.347247681606303;0.131247286982002
167;P;14;Tomato_Root;7;-35.2357142857143;0.492539580232125;0.186162462878621
168;P;14;Tomato_Shoot;7;-36.72;0.392725519075769;0.148436293854748
169;P/Fe;0;Barley_Root;7;-27.4871428571429;0.753209007861569;0.284686245722201
170;P/Fe;0;Barley_Shoot;7;-31.0642857142857;0.715887727297541;0.270580127581789
171;P/Fe;0;Cucumber_Root;7;-32.26;1.0476640682967;0.395979797464466
172;P/Fe;0;Cucumber_Shoot;7;-33.3414285714286;0.802525774693635;0.303326231508401
173;P/Fe;0;Maize_Root;7;-12.2457142857143;0.321913919283667;0.121672024856386
174;P/Fe;0;Maize_Shoot;7;-12.8942857142857;0.883701630319064;0.33400782100094
175;P/Fe;0;Tomato_Root;7;-32.7285714285714;0.926722334744494;0.350268118877583
176;P/Fe;0;Tomato_Shoot;7;-35.2842857142857;0.521499668995011;0.197108347566186
177;P/Fe;1;Tomato_Root;7;-33.6885714285714;1.48128804954144;0.559874257019797
178;P/Fe;1;Tomato_Shoot;7;-35.8285714285714;1.85469160573421;0.701007535355969
179;P/Fe;2;Barley_Root;7;-30.8428571428571;1.41258290949256;0.533906154968198
180;P/Fe;2;Barley_Shoot;7;-33.5771428571429;0.806405900394137;0.304792781174001
181;P/Fe;2;Cucumber_Root;7;-33.05;1.10687247082339;0.418358470123182
182;P/Fe;2;Cucumber_Shoot;7;-34.3585714285714;0.579724893704722;0.219115413939436
183;P/Fe;2;Maize_Root;7;-13.7085714285714;0.740640006378011;0.279935609700215
184;P/Fe;2;Maize_Shoot;7;-15.7042857142857;0.608984322262819;0.230174438434948
185;P/Fe;3;Tomato_Root;7;-36.0842857142857;0.819265059730512;0.309653086555916
186;P/Fe;3;Tomato_Shoot;7;-37.8485714285714;0.624324396752965;0.235972441605538
187;P/Fe;4;Barley_Root;7;-32.44;1.53279700765192;0.579342813227277
188;P/Fe;4;Barley_Shoot;7;-35.6742857142857;0.600190445965754;0.226850665614619
189;P/Fe;4;Maize_Root;7;-13.8857142857143;0.488632689002593;0.184685796793947
190;P/Fe;4;Maize_Shoot;7;-15.7214285714286;0.451014728932755;0.170467544340468
191;P/Fe;5;Cucumber_Root;7;-34.3614285714286;0.583992824482989;0.220728540146883
192;P/Fe;5;Cucumber_Shoot;7;-35.1128571428571;0.514448386971076;0.19444321347197
193;P/Fe;7;Barley_Root;7;-35.1885714285714;1.12220658483526;0.424154220444744
194;P/Fe;7;Barley_Shoot;7;-37.6285714285714;0.434220703154074;0.164119999237326
195;P/Fe;7;Cucumber_Root;7;-34.6328571428571;1.01793441644856;0.384743045270937
196;P/Fe;7;Cucumber_Shoot;7;-35.76;0.629470677103653;0.237917552746244
197;P/Fe;7;Maize_Root;7;-14.8285714285714;0.749631655580005;0.283334133652331
198;P/Fe;7;Maize_Shoot;7;-16.3485714285714;0.795977984859476;0.300851399574358
199;P/Fe;7;Tomato_Root;7;-36.29;0.147422295916641;0.0557203903859436
200;P/Fe;7;Tomato_Shoot;7;-37.18;0.204287379280593;0.0772133716522256
201;P/Fe;9;Barley_Root;7;-35.8628571428571;1.2032693559038;0.454793067992331
202;P/Fe;9;Barley_Shoot;7;-38.15;0.233523731841826;0.088263674240744
203;P/Fe;9;Cucumber_Root;7;-34.1571428571429;0.582085740697888;0.220007730229063
204;P/Fe;9;Cucumber_Shoot;7;-35.9357142857143;0.591434897596717;0.223541379389409
205;P/Fe;9;Maize_Root;7;-15.28;0.741619848709567;0.280305955290694
206;P/Fe;9;Maize_Shoot;7;-16.9414285714286;0.529856224883335;0.200266828808688
207;P/Fe;9;Tomato_Root;7;-36.4785714285714;0.450608054796646;0.170313835964927
208;P/Fe;9;Tomato_Shoot;7;-37.2914285714286;0.399684399304776;0.151066503353239
209;P/Fe;11;Barley_Root;7;-35.9114285714286;1.07908029623114;0.407854015499644
210;P/Fe;11;Barley_Shoot;7;-38.4685714285714;0.240446014136822;0.0908800510203931
211;P/Fe;11;Maize_Root;7;-15.3714285714286;0.623095192605126;0.235507846107579
212;P/Fe;11;Maize_Shoot;7;-17.2014285714286;0.33248702087092;0.125668281625885
213;P/Fe;11;Tomato_Root;7;-36.5871428571429;0.401900248225613;0.151904015522871
214;P/Fe;11;Tomato_Shoot;7;-37.35;0.23783747952471;0.0898941176103998
215;P/Fe;12;Cucumber_Root;7;-32.9457142857143;1.31242596163056;0.496050386951323
216;P/Fe;12;Cucumber_Shoot;7;-34.53;1.31233887899937;0.496017472810518
217;P/Fe;14;Barley_Root;7;-37.6771428571429;0.345239737270315;0.130488355359219
218;P/Fe;14;Barley_Shoot;7;-39.0685714285714;0.465991007475057;0.176128045567349
219;P/Fe;14;Cucumber_Root;7;-32.4071428571429;1.82791059487524;0.690885264700002
220;P/Fe;14;Cucumber_Shoot;7;-34.6357142857143;1.2189866986266;0.460733665151659
221;P/Fe;14;Maize_Root;7;-16.7385714285714;0.223041742836669;0.0843018547903213
222;P/Fe;14;Maize_Shoot;7;-17.3128571428571;0.192415720573474;0.0727263064252438
223;P/Fe;14;Tomato_Root;7;-36.2757142857143;0.447580798771096;0.169169640736566
224;P/Fe;14;Tomato_Shoot;7;-36.8728571428571;0.529078264081799;0.199972787264314
